SMILES,CID
Cc1cccc2c1NC(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C2c1cccc(F)c1,73388393
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,107970
O=C(O)CNC(=O)CCC[P@](=O)(O)OCc1ccc([N+](=O)[O-])cc1,449242
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,23628250
Cc1cn([C@H]2C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,121976
CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21,445561
Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C,444941
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,643976
Nc1nc(=O)c2cc(C[C@@](O)(CNCC(=O)N[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2[nH]1,135488885
O=P(O)(O)OCCCc1c[nH]c2ccc(F)cc12,1819
CCCCC/C=C\C=C\[C@@H](O)CCCCCCCC(=O)O,5312830
O=P(O)(O)OC[C@H]1O[C@H](n2cnc3ccccc32)[C@H](O)[C@@H]1O,446856
Nc1ncnc2c([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)[nH]nc12,444260
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,57495353
CSc1nc(NCCC(C)C)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,46937130
C[C@@](CO)(OP(=O)(O)O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,443200
O=P(O)(O)OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12,444150
CC[C@H](C)[C@@H](NCc1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O,92282619
Cc1ncc(COP(=O)(O)O)c(CNC2(C(=O)O)CC2)c1O,4324
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,37393
CCCCCC[P@](=O)(O)O[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,446981
CCCCCCCCCCCC[P+](C)(C)CC(P(=O)(O)O)P(=O)(O)O,24836815
Cc1ccc2c(c1)ncn2[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,446491
O=P(O)(O)OCCNS(=O)(=O)c1ccc(OC(F)(F)F)cc1,16122526
O=C(O)C[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O,447145
O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(Cl)[nH+]cnc32)[C@H](O)[C@@H]1O,17753915
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,483477
