Ligand,Best_Affinity_(kcal/mol)
282_N_Bromoacetyl_Aminoethyl_Phosphate,-5.078
100_Mannose_6_phosphate,-5.073
61_Creatinolfosfate,-5.066
477_Ethyl_hydrogen_diethylamidophosphate,-5.045
294_Ethyl_Dihydrogen_Diphosphate,-5.032
444_Phosphoaspartate,-5.019
314_2_Amino_3__Diethoxy_Phosphoryloxy__Propionic_Acid,-5.013
77_Fructose_6_phosphate,-5.009
320_Fobrepodacin,-4.986
115_Propyl_Trihydrogen_Diphosphate,-4.968
37_1_Deoxy_D_xylulose_5_phosphate,-4.943
79_Fructose__6_Phosphate,-4.939
87_Fosfructose,-4.938
371_Evacetrapib,-4.92
81_5_Phosphoarabinonic_Acid,-4.9
74_1_6_DI_O_PHOSPHONO_D_MANNITOL,-4.881
26_Open_Form_of_2__Deoxy_Ribofuranose_5__Phosphate,-4.867
399_Torcetrapib,-4.862
297_ABT_737,-4.853
31_L_xylitol_5_phosphate,-4.852
57_4_Phospho_D_erythronohydroxamic_acid,-4.851
202_2__Phosphonooxy_Butanoic_Acid,-4.849
324_4____2S__1___6___1_Amino_1_oxo_3_sulfanylpropan_2_yl_amino__6_oxohexyl_amino__3__4__difluoro_phosphono_methyl_phenyl__1_oxopropan_2_yl_amino__3___2__4__difluoro_phosphono_methyl_phenyl_acetyl_amino__4_oxobutanoic_acid,-4.829
76_L_Xylulose_5_Phosphate,-4.81
158_L_Alpha_Glycerophosphorylserine,-4.788
102_Glucose_6_Phosphate,-4.784
36_1__2__Dioleoyl__sn__glycero__3__phospho__L__serine,-4.78
117_SGS_742,-4.78
437_2_Dimethylamino_Ethyl_Diphosphate,-4.77
60_Triclofos,-4.758
56_4_phospho_D_erythronic_acid,-4.689
70_Ribose_5_phosphate,-4.662
44_D_erythrose_4_phosphate,-4.646
34_D_glucitol_6_phosphate,-4.629
78_Ribulose_5_Phosphate,-4.626
286_Giripladib,-4.615
143_Phosphoglycolohydroxamic_Acid,-4.613
27_2_Deoxy_2_Amino_Glucitol_6_Phosphate,-4.606
54_4_phospho_L_threonic_acid,-4.605
45_4_Hydroxy_L_Threonine_5_Monophosphate,-4.583
59_Dexfosfoserine,-4.537
420_Amifostine,-4.516
436_Bimosiamose,-4.515
30_Arabinose_5_phosphate,-4.484
124_sn_glycero_3_phosphoethanolamine,-4.482
64_L_Threonohydroxamate_4_Phosphate,-4.404
398_S_4_Nitrobutyryl_CoA,-4.403
58_3_phospho_D_glyceric_acid,-4.336
123_L_alpha_Glycerophosphorylethanolamine,-4.332
126_Dihydroxyacetone_phosphate,-4.315
170_N_N_N_Trimethyl_2__phosphonooxy_ethanaminium,-4.31
48_Butylphosphonate,-4.281
236_Mosliciguat,-4.236
38_D_glyceraldehyde_3_phosphate,-4.19
419_Glycerol_2_phosphate,-4.151
223_Hexanoyl_CoA,-4.145
127_2_Phosphoglycolic_Acid,-4.142
358_Uridine_5__Diphosphate_N_Acetylmuramoyl_L_Alanine_D_Glutamate,-4.071
68_Ethyl_dihydrogen_phosphate,-3.703
161_1_2_Docosahexanoyl_sn_glycero_3_phosphoserine,-3.677
105_Phosphorylcolamine,-3.626
493_Rilapladib,-3.434
327_Opelconazole,-2.675
426__R__carnitinyl_CoA_betaine,-2.552
461_Gallium_68_PSMA,-2.538
189__2S__2_3_bis___3R_7R__3_7_11_15_tetramethylhexadecyl_oxy_propyl__2R__2_hydroxy_3___hydroxyphosphinato_oxy_propyl_phosphate,-2.519
209__R__3_hydroxydecanoyl_CoA,-2.48
365_3_thiaoctanoyl_CoA,-2.425
185_Octanoyl_Coenzyme_A,-2.23
381_2_MERCAPTO_N__1_2_3_10_TETRAMETHOXY_9_OXO_5_6_7_9_TETRAHYDRO_BENZO_A_HEPTALEN_7_YL_ACETAMIDE,-2.07
239_Feruloyl_Coenzyme_A,-1.95
447_CoA_S_trimethylene_acetyl_tryptamine,-1.947
187_Dodecyl_Coa,-1.927
335_5_Mercaptoethanol_2_decenoyl_coenzyme_A,-1.698
288_GDC_0349,-1.511
186_Myristoyl_Coa,-1.371
309_Staurosporine,-1.235
195_Brilacidin,-0.514
351_Navitoclax,-0.47
256_Obicetrapib,-0.436
354_Sitravatinib,-0.156
471_CFT_8634,0.516
499_TRV_120027,0.623
368_Saralasin,1.223
478_YT_001,1.841
301_Muparfostat,3.901
446_Angiotensin_1_7,4.438
355_Ulapualide_A,18.102
312_Pelcitoclax,22.964
306_Rimiducid,34.331
300_Trabectedin,39.137
408_Teicoplanin,1198.64
438_Cefilavancin,317551.158
439_Vancomycin,1208517.586
