Molecule ChEMBL ID,Smiles,Standard Value,Standard Type,pChEMBL Value,Activity_Class
CHEMBL118860,CCCCCCCCCc1ccc(CNCCCP(=O)(O)O)cc1,3.1,IC50,8.51,Active
CHEMBL112655,CCCCCCCCc1ccc(CCC(N)C(O)CP(=O)(O)O)cc1,14.0,IC50,7.85,Active
CHEMBL475495,CCCCCCCCOc1ccc(NC(=O)[C@@](C)(N)COP(=O)(O)O)cc1,2.4,EC50,8.62,Active
CHEMBL3344407,N[C@@H](CO)COc1cc(Cl)c(-c2nc(N3CCN(C(=O)C4CCC4)CC3)no2)cc1F,17.0,EC50,7.77,Active
CHEMBL3344405,CC1(C)CC(C(=O)N2CCN(c3noc(-c4cc(F)c(OC[C@@H](N)CO)cc4Cl)n3)CC2)C1,3.1,EC50,8.51,Active
CHEMBL3344434,CC1(C)CC(C(=O)N2CCN(c3noc(-c4cc(F)c(OCCC(=O)O)cc4Cl)n3)CC2)C1,2700.0,EC50,5.57,Inactive
CHEMBL1364999,Cc1cc([N+](=O)[O-])c2ccccc2[n+]1[O-],3285.0,IC50,5.48,Inactive
CHEMBL51931,O=C1C(=O)c2ccccc2-c2ccccc21,5020.0,IC50,5.3,Inactive
CHEMBL247766,Cc1cc([C@H]2C[C@H]2C(=O)O)ccc1-c1noc(-c2ccc(OC(C)C)c(C#N)c2)n1,0.8,EC50,9.1,Active
CHEMBL422074,CCCCCCCCc1ccc(NC(=O)[C@H](N)COP(=O)(O)O)cc1.O=C(O)C(F)(F)F,58.0,EC50,7.24,Active
CHEMBL432067,CCCCCCCCc1ccc(CCC(N)COP(=O)(O)O)cc1,0.76,IC50,9.12,Active
CHEMBL3344423,N[C@@H](CO)COc1cc(Cl)c(-c2noc(N3CCN(C(=O)c4cccc(Cl)c4)CC3)n2)cc1F,12.0,EC50,7.92,Active
CHEMBL1081269,Cc1cc(O)ccc1NC(=O)c1cc(NC2CCCCCC2)ncn1,973.0,EC50,6.01,Active
CHEMBL1081270,CN(c1cc(C(=O)Nc2ccc(O)cc2)ncn1)C1CCCCC1,700.0,EC50,6.16,Active
CHEMBL1081655,O=C(Nc1ccc(O)cc1F)c1cc(NC2CCCCC2)ncn1,440.0,EC50,6.36,Active
CHEMBL1087651,O=C(Nc1ccc(O)cc1C(F)(F)F)c1cc(NC2CCCCC2)ncn1,382.0,EC50,6.42,Active
CHEMBL1087664,CS(=O)(=O)c1ccc(NC(=O)c2cc(N(CC3CC3)C3CCCCC3)ncn2)cc1,193.0,EC50,6.71,Active
CHEMBL1080684,CN(c1cc(C(=O)Nc2ccc3[nH]ncc3c2)ncn1)C1CCCCC1,418.0,EC50,6.38,Active
CHEMBL1080865,CCCN(CC1CC1)c1cc(C(=O)Nc2ccc3[nH]ncc3c2)ncn1,13.0,EC50,7.89,Active
CHEMBL1080382,Cc1cc2[nH]ncc2cc1NC(=O)c1cc(N(CC2CC2)C2CCCCC2)ncn1,6.0,EC50,8.22,Active
CHEMBL1086157,CCCN(CC1CC1)c1cc(C(=O)Nc2ccc(S(=O)(=O)NCCC(=O)O)cc2C)ncn1,33.0,EC50,7.48,Active
CHEMBL1093574,NC(CO)(CCc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1Cl)COP(=O)(O)O,4.7,EC50,8.33,Active
CHEMBL1090223,NC(CO)(CCc1ccc(-c2ccc(OCc3ccccc3)cc2)cc1Cl)COP(=O)(O)O,1.6,EC50,8.8,Active
CHEMBL114606,CCCCCCCCc1ccc(CCC(N)(CO)COP(=O)(O)O)cc1,0.35,EC50,9.46,Active
CHEMBL3311106,Cc1ccc(CCCC(=O)c2ccc(COC[C@@](C)(N)COP(=O)(O)O)cc2)cc1,7.0,EC50,8.15,Active
CHEMBL3311352,CCc1cc(C(=O)CCCc2ccc(C)cc2)ccc1COC[C@@](C)(N)COP(=O)(O)O,2.3,EC50,8.64,Active
CHEMBL1089558,CCCCOc1cc(F)c(-c2ccc(CCC(N)(CO)COP(=O)(O)O)cc2)cc1F,1.2,EC50,8.92,Active
CHEMBL1089475,Cc1ccc(Sc2ccc(-c3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)c(F)c2)cc1,3.0,EC50,8.52,Active
CHEMBL6002656,Cc1ccc(C(C)(NC(=O)c2ccc(C#N)c(C)c2)c2ccc(Cl)cc2)nc1,10200.0,IC50,4.99,Inactive
CHEMBL5853301,N#Cc1cc(C(=O)N[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(Cl)cn2)ccc1OCCO,10200.0,IC50,4.99,Inactive
CHEMBL6039866,N#Cc1ccc(C(=O)N[C@@H](c2ccc(Cl)cc2)c2ccc(Br)cn2)cc1Cl,1100.0,IC50,5.96,Inactive
CHEMBL5868525,Cc1cc(C(=O)N[C@@H](c2ccc(Cl)c(F)c2)c2ccc(Br)cn2)ccc1C#N,452.0,IC50,6.34,Active
CHEMBL5838703,Cc1cc(C(=O)NC(c2ccc(Cl)cc2)c2cnc(Cl)cn2)ccc1C#N,12000.0,IC50,4.92,Inactive
CHEMBL5970903,N#Cc1ccc(C(=O)NC(c2ccc(Cl)cc2)c2ccc(Cl)cc2C#N)cc1F,22400.0,IC50,4.65,Inactive
CHEMBL5887756,CCOc1ccc(C(=O)N[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(Cl)cn2)cc1C#N,37200.0,IC50,4.43,Inactive
CHEMBL6007588,Cc1ccc(C(=O)N[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(Cl)cn2)cc1Cl,910.0,IC50,6.04,Active
CHEMBL6054141,O=C(N[C@@H](c1ccc(Cl)c(Cl)c1)c1ccc(Cl)cn1)c1ccc(F)c(Cl)c1,347.0,IC50,6.46,Active
CHEMBL1916402,FC(F)(F)c1cc(-c2nc(-c3ccc4[nH]ncc4c3)no2)cc(C(F)(F)F)c1,9.4,EC50,8.03,Active
CHEMBL5787182,Cc1cc(Br)cnc1[C@@H](NC(=O)c1ccc(C#N)c(F)c1)c1ccc(Cl)c(Cl)c1,1600.0,IC50,5.8,Inactive
CHEMBL6054589,Cc1cc(C(=O)NC(c2ccc(Cl)cc2)c2ccsc2)ccc1C#N,4000.0,IC50,5.4,Inactive
CHEMBL3341930,COc1ccc(Cc2nc(-c3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)co2)cc1,25.8,EC50,7.59,Active
CHEMBL5942930,CC(CN1CCC2(CC1)COc1cc(OCc3c(Cl)cc(Cl)cc3Cl)ccc12)C(=O)O,631.0,EC50,6.2,Active
CHEMBL4302167,CCc1cccc(Cl)c1CSc1ccc2c(c1)OCC21CCN(CCC(=O)O)CC1,158.0,EC50,6.8,Active
CHEMBL5913949,CCCCCCCCOc1ccc2c(c1F)OCC21CCN(CCC(=O)O)CC1,79.4,EC50,7.1,Active
